firstname	commonname	playerjerseyname	surname	playerid
Pedro Lucas	Pedro Lucas	Pedro Lucas	Antunes dos Santos	4466
Lucas	Oliveira	Oliveira	da Silva Oliveira	4467
Pedro Henrique	Lico	Lico	Gomes Venerozo	4468
Felipe	Felipe	Felipe	Barbosa	4469
Walter Alan	Alan Silva	Alan Silva	Nogueira da Silva	4470
Gabriel Galhardo	Gabriel Galhardo	Galhardo	do Nascimento Rocha	4471
Antônio	Antônio	Antônio	Barros	4472
Hiago	Hiago	Hiago	Accinelli da Roza	4473
Maxwell Lima	Max	Max	Santiago dos Santos	4474
Vinícius	Vinícius	Vinícius	Gonçalves	4475
Gabriel Dyghana	Dyghana	Dyghana	Carvalho Duarte	4476
Arthur	Arthur	Arthur	Batista	4477
Leonardo	Leonardo	Leonardo	Borges	4478
Kauãn	Kauãn Guedes	Kauãn Guedes	Guedes de Campos	4479
Renan	Renan	Renan	Chagas de Oliveira	4480
Thiago	Thiago	Thiago	Campos	4481
Miguel	Miguel	Miguel	Cardoso	4482
Breno	Breno Boeno	Breno Boeno	Boeno	4483
Nicolas Hermes	Nicolas	Nicolas	Schmitt	4484
Leonardo Mello	Leonardo Mello	Leonardo Mello	Muller da Silva	4485
Rodrigo	Rodrigo García	Rodrigo García	García da Rosa	4486
Ederson Gabriel	Tuty	Tuty	Mazui de Faria	4487
Leandro	Leandro Salino	Leandro Salino	Salino do Carmo	4488
Pietro	Pietro	Pietro	Lima	4489
Carlos	Carlos	Carlos	Lopes	4490
Gabriel	Gabriel	Gabriel	Carvalho	4491
Luís	Luís	Luís	Machado	4492
Filipe	Filipe Carvalho	Filipe Carvalho	dos Santos Carvalho	4493
Davi	Davi	Davi	Silva	4494
Bernardo	Bernardo	Bernardo	Costa	4495
Matheus	Matheus	Matheus	da Cruz	4496
João Miguel	João Miguel	João Miguel	Castro	4497
Nycolas Gabryel	Nycolas	Nycolas	Vieira da Silva	4498
Samuel	Samuel	Samuel	Dias	4499
Julio Cesar	Julio Lima	Julio Lima	Batista Lima	4500
Breno	Breno	Breno	Rodrigues	4501
Emanuel	Emanuel	Emanuel	Marques	4502
Javier Franco	Javier	Javier	de Matos	4503
Rafael	Rafael	Rafael	Duarte	4504
Francisco	Francisco	Francisco	Martins	4505
Thomas	Thomas	Thomas	Bays	4506
Kauãn	Kauãn	Kauãn	Freitas	4507
Igor	Igor	Igor	Medeiros	4508
Luan Henrique	Luan Luz	Luan Luz	Luz	4509
Lucas Diogo	Lucas Faria	Lucas	de Jesus Faria	4510
Daniel	Daniel	Daniel	Fernandes	4511
Murilo	Murilo	Murilo	Ferreira	4512
Gustavo	Gustavo	Gustavo	Kaina Fischer	4513
Gerson	Gerson Dida	Gerson Dida	Lazaro da Silva	4514
Rodrigo Cléo	Rodrigo Silveira	Rodrigo Silveira	da Silveira	4515
Bruno	Bruno	Bruno	García	4516
Matheus	Bernardino	Bernardino	Silva Bernardino	4517
João Antônio	Lunna	Lunna	Lunna	4518
Estevão	Estevão	Estevão	Barreto de Oliveira	4519
Sandro	Sandro Perpétuo	S Perpétuo	Perpétuo Junior	4520
Yago	Yago	Yago	de Paula Ferreira	4521
João	Peglow	Peglow	Peglow	4522
Lucas Baptista	Dentinho	Dentinho	Felix	4523
Jhonatan	Jhonatan	Jhonatan	dos Santos Rosa	4525
Gabriel	Gabriel Silva	Gabriel Silva	Silva Vieira	4526
Fabricio	Fabricio	Fabricio	do Nascimento Biato	4529
Marcelo Francine	Marcelinho	Marcelinho	de Castro Feliciano	4530
Pedro Henrique	Pedro Bicalho	Pedro	Rodrigues Bicalho	4532
Cauã	Cauã Santos	Cauã Santos	Santos Aguiar	4533
Gustavo	Gustavo Garcia	G. Garcia	Garcia dos Santos	4534
Rafael Elias	Rafael Elias	Rafael Elias	da Silva	4535
Helderson	Helder	Helder	Tavares Santos	4536
Kaiky	Kaiky Naves	Kaiky	Marques Naves	4537
Gabryel	Gabryel Martins	Gabryel Martins	da Silva Martins	4538
Matheus Martins	Matheus Martins	Matheus Martins	Silva dos Santos	4539
João Luíz	Cipriano	Cipriano	da Silva Cipriano	4540
Vanderlan	Vanderlan	Vanderlan	Barbosa da Silva	4541
Lucas de Freitas	Lucas Freitas	Lucas Freitas	Molarinho Chagas	4542
Marcos Pedro	Marcos Pedro	Marcos Pedro	Braga Maciel	4543
Jhonny	Jhonny	Jhonny	Cardinoti Pedro	4544
Eder	Edinho	Edinho	Maciel Lopes	4545
Davi	Davi	Davi	Alves Soares	4546
Pedro Felipe	Pedro Rangel	Pedro Rangel	de Faria Rangel	4547
Mateus	Mateus	Mateus	Oliveira Mendes	4548
Geovane	Geovane	Geovane	da Silva Souza	4550
Alyson Deyvid	Alyson	Alyson	Dantas dos Anjos	4551
Kelvin Giacobe	Kelvin	Kelvin	Alves dos Santos	4552
Richard	Richard	Richard	dos Santos de Almeida	4553
